system time, time elapsed, drive_pos, drive_torque
1763924872971303792,0.000938706,-8.52203e-05,0.0344387,
1763924872977280307,0.00691522,-4.26102e-05,-0.0147038,
1763924872983319397,0.0129543,-0.00012783,-0.015913,
1763924872989314672,0.0189497,0,-0.0699571,
1763924872995319873,0.0249548,-4.26102e-05,0.0198781,
1763924873001322481,0.0309574,-4.26102e-05,-0.028866,
1763924873007318589,0.0369535,0,-0.0164584,
1763924873013323401,0.0429583,-4.26102e-05,-0.0614947,
1763924873019320991,0.0489559,4.26102e-05,-0.0373043,
1763924873025320043,0.054955,-4.26102e-05,-0.0396673,
1763924873031289503,0.0609244,-8.52203e-05,-0.117006,
1763924873037321241,0.0669561,-4.26102e-05,-0.060778,
1763924873043290164,0.0729251,-8.52203e-05,-0.0129362,
1763924873049325606,0.0789606,-4.26102e-05,0.068366,
1763924873055323677,0.0849586,-4.26102e-05,-0.0147073,
1763924873061288100,0.090923,-8.52203e-05,0.0847199,
1763924873067325023,0.0969599,-0.00012783,-0.0260278,
1763924873073327650,0.102963,0,-0.0107367,
1763924873079289647,0.108925,-8.52203e-05,-0.0125969,
1763924873085320662,0.114956,-0.00012783,-0.0587902,
1763924873091321789,0.120957,0,0.0435592,
1763924873097290749,0.126926,-8.52203e-05,0.0206922,
1763924873103324413,0.132959,-0.00012783,0.0242878,
1763924873109290799,0.138926,-4.26102e-05,0.0264294,
1763924873115300129,0.144935,-8.52203e-05,-0.0159955,
1763924873121321034,0.150956,-0.000170441,-0.00173483,
1763924873127324568,0.15696,4.26102e-05,0.0246364,
1763924873133326972,0.162962,-8.52203e-05,0.102422,
1763924873139322043,0.168957,-0.00012783,0.0253236,
1763924873145321300,0.174956,-4.26102e-05,0.0577604,
1763924873151292982,0.180928,0,-0.0555035,
1763924873157323035,0.186958,-0.00012783,0.00712998,
1763924873163295402,0.19293,-8.52203e-05,-0.0388572,
1763924873169321029,0.198956,-0.00012783,-0.0324493,
1763924873175301304,0.204937,0,-0.0870473,
1763924873181329653,0.210965,-0.00012783,0.0401568,
1763924873187289779,0.216925,-4.26102e-05,0.0410235,
1763924873193296776,0.222932,-0.00012783,0.0348651,
1763924873199317477,0.228952,-0.00012783,-0.112815,
1763924873205312715,0.234948,-4.26102e-05,-0.0356336,
1763924873211321416,0.240956,-0.00012783,0.116118,
1763924873217290431,0.246925,-0.000170441,-0.0085765,
1763924873223297354,0.252932,-4.26102e-05,0.0259189,
1763924873229318407,0.258953,4.26102e-05,-0.074274,
1763924873235291608,0.264927,-0.00012783,0.07322,
1763924873240327825,0.269963,-0.00012783,-0.0145716,
1763924873246404470,0.27604,-8.52203e-05,0.0509703,
1763924873252304448,0.281939,-8.52203e-05,0.0502366,
1763924873257325165,0.28696,-4.26102e-05,0.0135855,
1763924873263379866,0.293015,4.26102e-05,-0.0621813,
1763924873269344307,0.298979,-0.00012783,0.0326694,
1763924873275345953,0.304981,-4.26102e-05,-0.124243,
1763924873281346246,0.310981,-0.00012783,0.0722753,
1763924873287339595,0.316975,0,-0.0053537,
1763924873293315536,0.32295,-0.000170441,-0.0132452,
1763924873298329920,0.327965,-4.26102e-05,-0.0373856,
