system time, time elapsed, drive_pos, drive_torque
1763923998329966879,0.00101381,8.52203e-05,0.595313,
1763923998335923672,0.00697067,0.000852203,0.936415,
1763923998341943409,0.0129904,0.00392013,0.910181,
1763923998347934924,0.0189819,0.00920379,0.943885,
1763923998353945643,0.0249927,0.0161919,0.958408,
1763923998359951065,0.0309982,0.0245008,0.940097,
1763923998365938802,0.036986,0.0341733,0.945454,
1763923998371952484,0.0429996,0.045252,1.0011,
1763923998377948018,0.0489951,0.0570124,0.91138,
1763923998383950551,0.0549976,0.0697102,0.930072,
1763923998389948622,0.0609956,0.0832176,1.05274,
1763923998395951655,0.0669987,0.0976199,0.92414,
1763923998401939818,0.0729868,0.112746,0.927924,
1763923998407942056,0.078989,0.129109,0.871573,
1763923998413937071,0.0849842,0.146153,0.919395,
1763923998419940586,0.0909877,0.164049,0.96026,
1763923998425944323,0.0969913,0.182925,1.01113,
1763923998431941227,0.102988,0.202739,1.01092,
1763923998437939649,0.108987,0.223405,0.867645,
1763923998443940294,0.114987,0.245094,0.906572,
1763923998449938550,0.120985,0.267549,0.905811,
1763923998455941509,0.126989,0.290133,0.895659,
1763923998461940061,0.132987,0.313142,0.955702,
1763923998467946798,0.138994,0.336194,1.11866,
1763923998473934424,0.144981,0.359417,1.05928,
1763923998479941143,0.150988,0.38298,0.926064,
1763923998485953195,0.157,0.406543,0.922902,
1763923998491939562,0.162986,0.430405,1.09902,
1763923998497943503,0.168991,0.454608,0.953212,
1763923998503939536,0.174987,0.479151,0.972992,
1763923998509943718,0.180991,0.504121,1.00932,
1763923998515945900,0.186993,0.529602,1.03209,
1763923998521945526,0.192993,0.555551,0.859688,
1763923998527944985,0.198992,0.581927,0.936565,
1763923998533940704,0.204988,0.60941,0.940325,
1763923998539946793,0.210994,0.637746,0.843167,
1763923998545941993,0.216989,0.667275,0.548506,
1763923998551951749,0.222999,0.69642,0.794725,
1763923998557944801,0.228992,0.725864,0.501812,
1763923998563946816,0.234994,0.755308,0.502167,
1763923998569961572,0.241009,0.784581,0.884909,
1763923998575946902,0.246994,0.813684,0.802169,
1763923998581947732,0.252995,0.843042,0.490737,
1763923998586937164,0.257984,0.8675,0.708294,
1763923998592941864,0.263989,0.896858,0.480077,
1763923998598938101,0.269985,0.92643,0.304003,
1763923998604947209,0.275994,0.956087,0.482439,
1763923998610945835,0.281993,0.98553,0.422905,
1763923998616947739,0.287995,1.01519,0.44808,
1763923998622945976,0.293993,1.0445,0.666222,
1763923998627943408,0.29899,1.069,0.506814,
1763923998633953701,0.305001,1.09853,0.491184,
1763923998639951438,0.310998,1.12798,0.708003,
1763923998645950379,0.316997,1.15716,0.678504,
1763923998651943172,0.32299,1.18665,0.503779,
1763923998657951132,0.328998,1.21592,0.701414,
1763923998663966776,0.335014,1.2452,0.646287,
1763923998670005755,0.341053,1.27451,0.594164,
1763923998675950029,0.346997,1.30404,0.535983,
1763923998681977896,0.353025,1.3337,0.439896,
1763923998687975318,0.359022,1.36357,0.25866,
1763923998693971018,0.365018,1.3931,0.46908,
1763923998699980515,0.371027,1.42258,0.558901,
1763923998705984956,0.377032,1.4522,0.287581,
1763923998711957174,0.383004,1.48173,0.472318,
1763923998717991430,0.389038,1.51113,0.702689,
1763923998723980927,0.395028,1.54048,0.609054,
1763923998729981164,0.401028,1.5698,0.576776,
1763923998735985827,0.407033,1.59916,0.51176,
1763923998741960971,0.413008,1.62899,0.436194,
1763923998747986339,0.419034,1.65809,0.588998,
1763923998753988724,0.425036,1.68736,0.890301,
1763923998759990683,0.431038,1.71689,0.623049,
1763923998765981439,0.437028,1.74642,0.412126,
1763923998771981862,0.443029,1.77569,0.657731,
1763923998777959432,0.449006,1.80492,0.832638,
1763923998783993336,0.45504,1.83428,0.560175,
1763923998789950110,0.460997,1.8636,0.623908,
1763923998795994755,0.467042,1.89296,0.805031,
1763923998801983659,0.473031,1.92206,0.774242,
1763923998807983377,0.47903,1.95133,0.641485,
1763923998813954392,0.485001,1.98082,0.655274,
1763923998819951611,0.490999,2.01005,0.606692,
1763923998825981330,0.497028,2.03971,0.309362,
1763923998831989160,0.503036,2.06919,0.542953,
1763923998837983286,0.50903,2.09864,0.653662,
1763923998843988708,0.515036,2.12816,0.307502,
1763923998849988279,0.521035,2.15782,0.487376,
1763923998855987424,0.527034,2.18709,0.496724,
1763923998861957420,0.533005,2.21641,0.575579,
1763923998867961527,0.539009,2.24581,0.627552,
1763923998873986320,0.545033,2.27513,0.680412,
1763923998879993761,0.551041,2.30457,0.513682,
1763923998885955665,0.557003,2.33401,0.624693,
1763923998892007569,0.563055,2.36337,0.616996,
1763923998897992103,0.569039,2.3926,0.685475,
1763923998903956803,0.575004,2.42192,0.528707,
1763923998909966929,0.581014,2.4514,0.555342,
1763923998915990518,0.587038,2.48059,0.780194,
