system time, time elapsed, drive_pos, drive_torque
1763924217462066630,0.778019,2.168345,0.444604,
1763924217468089444,0.784042,2.185901,0.469522,
1763924217474055444,0.790008,2.203329,0.583799,
1763924217480102666,0.796055,2.220969,0.603132,
1763924217486088091,0.802041,2.238183,0.623069,
1763924217492055646,0.808008,2.255611,0.528577,
1763924217498100257,0.814053,2.273039,0.318449,
1763924217504090367,0.820043,2.290765,0.240442,
1763924217510057959,0.826010,2.308362,0.399749,
1763924217516067107,0.832019,2.325918,0.501975,
1763924217522089014,0.838041,2.343345,0.463286,
1763924217528078273,0.844031,2.361114,0.518235,
1763924217534099143,0.850052,2.378541,0.495923,
1763924217540061494,0.856014,2.396097,0.566501,
1763924217546134605,0.862087,2.413226,0.548806,
1763924217552062308,0.868015,2.430611,0.691645,
1763924217558093659,0.874046,2.447996,0.613781,
1763924217564075473,0.880028,2.465338,0.550312,
1763924217570057991,0.886010,2.482936,0.580831,
1763924217576067047,0.892020,2.500321,0.644713,
1763924217582070694,0.898023,2.517323,0.368161,
1763924217588067434,0.904020,2.534921,0.416005,
1763924217594068656,0.910021,2.552433,0.483836,
1763924217600073341,0.916026,2.569818,0.524800,
1763924217606062433,0.922015,2.587502,0.517377,
1763924217612069099,0.928021,2.605057,0.453052,
1763924217618073562,0.934026,2.622357,0.550561,
1763924217624068080,0.940020,2.639784,0.472111,
1763924217630078913,0.946032,2.657169,0.614990,
1763924217636071579,0.952024,2.674512,0.639150,
1763924217642063708,0.958016,2.692067,0.611951,
1763924217648079559,0.964032,2.709367,0.594860,
1763924217654071707,0.970024,2.726794,0.569420,
1763924217660072521,0.976025,2.744051,0.535502,
1763924217666078836,0.982031,2.761649,0.387026,
1763924217672072891,0.988025,2.778906,0.683153,
1763924217678090890,0.994043,2.796377,0.595495,
1763924217684076797,1.000029,2.813889,0.644743,
1763924217690073445,1.006026,2.831104,0.659025,
1763924217696087555,1.012040,2.848617,0.615094,
1763924217702082277,1.018035,2.866002,0.511668,
1763924217708075869,1.024028,2.883344,0.407188,
1763924217714084147,1.030037,2.900686,0.561251,
1763924217720076831,1.036029,2.918071,0.575207,
1763924217726076201,1.042029,2.935499,0.572911,
1763924217732088441,1.048041,2.953011,0.615766,
1763924217738079941,1.054032,2.970482,0.515049,
1763924217744080885,1.060033,2.988122,0.346855,
1763924217750084477,1.066037,3.005635,0.308266,
1763924217756073476,1.072026,3.023318,0.414730,
1763924217762081846,1.078034,3.040874,0.449731,
1763924217768083050,1.084035,3.058429,0.579472,
1763924217774082438,1.090035,3.075899,0.577358,
1763924217780099826,1.096053,3.093284,0.476597,
1763924217786075252,1.102028,3.110584,0.575811,
1763924217792094974,1.108048,3.127969,0.514598,
1763924217798086843,1.114039,3.145226,0.642668,
1763924217804084973,1.120038,3.162696,0.563798,
1763924217810088454,1.126041,3.179953,0.804809,
1763924217816079249,1.132032,3.197210,0.716477,
1763924217822084212,1.138037,3.214552,0.457224,
1763924217828085934,1.144038,3.231895,0.443601,
1763924217834089341,1.150042,3.249408,0.351549,
1763924217840088525,1.156041,3.266707,0.580036,
1763924217846081321,1.162034,3.284348,0.567568,
1763924217852092709,1.168046,3.301818,0.529700,
1763924217858081190,1.174034,3.319288,0.602610,
1763924217864086079,1.180039,3.336503,0.593772,
1763924217870088541,1.186041,3.353973,0.557777,
1763924217876087726,1.192040,3.371486,0.466209,
1763924217882092633,1.198045,3.388743,0.609096,
1763924217888078558,1.204031,3.406298,0.572143,
1763924217894085762,1.210038,3.423555,0.607118,
1763924217900088224,1.216041,3.441068,0.699370,
1763924217906087705,1.222040,3.458411,0.571585,
1763924217912092945,1.228045,3.475795,0.518395,
1763924217918087649,1.234040,3.493308,0.538495,
1763924217924089018,1.240041,3.510693,0.453445,
1763924217930083259,1.246036,3.527865,0.630722,
1763924217936087888,1.252040,3.545335,0.568568,
1763924217942098258,1.258051,3.562635,0.604057,
1763924217948092257,1.264045,3.580020,0.623257,
1763924217954090683,1.270043,3.597149,0.609858,
1763924217960092460,1.276045,3.614662,0.442608,
1763924217966090756,1.282043,3.632217,0.563413,
1763924217972093459,1.288046,3.649517,0.498445,
1763924217978098070,1.294051,3.667030,0.556263,
1763924217984090977,1.300043,3.684585,0.380167,
1763924217990091087,1.306044,3.702268,0.377721,
1763924217996105216,1.312058,3.720037,0.294579,
1763924218002091882,1.318044,3.737422,0.367618,
1763924218008093456,1.324046,3.755020,0.396951,
1763924218014097881,1.330051,3.772447,0.629660,
1763924218020084066,1.336036,3.790088,0.487738,
1763924218026094084,1.342046,3.807345,0.656519,
1763924218032091584,1.348044,3.824645,0.568186,
1763924218038098842,1.354051,3.841902,0.554000,
1763924218044096286,1.360049,3.859329,0.445256,
1763924218050094174,1.366047,3.876672,0.656538,
1763924218056108748,1.372061,3.894099,0.563142,
1763924218061082352,1.377035,3.908501,0.408102,
1763924218067091630,1.383044,3.925844,0.457234,
1763924218073119759,1.389073,3.943527,0.604291,
1763924218079097647,1.395050,3.960827,0.557908,
1763924218085091591,1.401044,3.978425,0.555641,
1763924218091099609,1.407052,3.995810,0.455877,
1763924218097085979,1.413038,4.013280,0.502695,
1763924218103094738,1.419047,4.030793,0.475300,
1763924218109105182,1.425058,4.048263,0.538745,
1763924218115095422,1.431048,4.065477,0.622071,
1763924218121103625,1.437056,4.083033,0.521644,
1763924218127096013,1.443048,4.100545,0.669509,
1763924218133095550,1.449048,4.117887,0.491062,
1763924218139103883,1.455057,4.135188,0.662451,
1763924218145097863,1.461050,4.152658,0.551852,
1763924218151095715,1.467048,4.170171,0.618636,
1763924218157104825,1.473057,4.187470,0.587325,
1763924218163092825,1.479045,4.205026,0.626732,
1763924218169105343,1.485058,4.222240,0.748739,
1763924218175098620,1.491051,4.239455,0.646528,
1763924218181096027,1.497048,4.256711,0.601607,
1763924218187105860,1.503058,4.274224,0.477558,
1763924218193124785,1.509077,4.291396,0.577787,
1763924218199118785,1.515071,4.308824,0.529777,
1763924218205096302,1.521049,4.326209,0.732749,
1763924218211106913,1.527060,4.343636,0.615099,
1763924218217100579,1.533053,4.361192,0.447016,
1763924218223123338,1.539076,4.378662,0.362593,
1763924218229101115,1.545054,4.396345,0.186395,
1763924218235099522,1.551052,4.413815,0.504076,
1763924218241108281,1.557061,4.431456,0.517509,
1763924218247105262,1.563058,4.449096,0.516156,
1763924218253123428,1.569076,4.466481,0.424489,
1763924218259104261,1.575057,4.483952,0.508200,
