system time, time elapsed, drive_pos, drive_torque
1763922807496256137,982521,-4.26102e-05,0.805751,
1763922807502232670,6959109,0.000894813,0.96958,
1763922807508235574,12961957,0.00323837,0.942421,
1763922807514236773,18963175,0.00784027,0.91217,
1763922807520230899,24957282,0.0149988,0.974102,
1763922807526247635,30974315,0.0242452,0.94362,
1763922807532236168,36962570,0.0356647,0.997641,
1763922807538245016,42971788,0.0495982,0.891594,
1763922807544237141,48963562,0.0655344,0.937252,
1763922807550249285,54975891,0.0833455,0.854049,
1763922807556259170,60985683,0.103117,1.01305,
1763922807562242407,66969012,0.12489,1.02139,
1763922807568239588,72966138,0.148795,0.878594,
1763922807574247065,78973856,0.174744,0.952678,
1763922807580235802,84962315,0.20291,0.916257,
1763922807586242001,90968551,0.232779,0.972438,
1763922807592238552,96964936,0.264822,0.865781,
1763922807598260937,102987765,0.298697,0.988147,
1763922807604240544,108966909,0.334831,0.902846,
1763922807610238392,114964776,0.373521,0.859468,
1763922807616241499,120967901,0.414639,0.850855,
1763922807622264143,126990915,0.4584,0.945641,
1763922807628246083,132972522,0.503311,0.962436,
1763922807634242523,138969111,0.550566,0.909664,
1763922807640249593,144976181,0.599866,0.821856,
1763922807646236274,150962695,0.651722,1.00562,
1763922807652242011,156968413,0.705326,0.90534,
1763922807658240655,162967020,0.761529,1.04853,
1763922807664233558,168959923,0.820245,0.792925,
1763922807670248165,174974845,0.880113,0.272742,
1763922807676243457,180969952,0.939596,0.569122,
1763922807682281083,187007670,0.999038,0.307493,
1763922807688238745,192965240,1.05895,0.254034,
1763922807694241834,198968217,1.11869,0.219999,
1763922807700240552,204966935,1.17855,0.441479,
1763922807706250659,210977117,1.23808,0.400203,
1763922807712245229,216971594,1.29782,0.453083,
1763922807718260540,222986960,1.35756,0.125882,
1763922807724260054,228986734,1.41743,0.280613,
1763922807730243309,234969693,1.47704,0.458363,
1763922807736265657,240992114,1.53699,0.343371,
1763922807742239690,246966110,1.5963,0.342574,
1763922807748242537,252968902,1.65592,0.365214,
1763922807754249515,258975972,1.71536,0.271582,
1763922807760247233,264973690,1.77561,0.334242,
1763922807766244414,270970816,1.83539,0.321263,
1763922807772273669,277000404,1.89526,0.323123,
1763922807778262276,282989085,1.95517,0.324913,
1763922807784272438,288999192,2.01452,0.295794,
1763922807790275638,295002577,2.07435,0.427462,
1763922807796274356,301001203,2.134,0.371236,
1763922807802276037,307002921,2.20133,0.21768,
1763922807808276459,313003528,2.25331,0.451775,
1763922807814282529,319009431,2.31305,0.62896,
1763922807819275078,324001980,2.36295,0.473227,
1763922807825265629,329992809,2.42251,0.195455,
1763922807831278903,336005694,2.4826,0.0593141,
1763922807837500140,342226986,2.55098,0.402827,
1763922807844288304,349015095,2.61179,0.405509,
1763922807850267133,354993739,2.67136,0.246523,
1763922807856272111,360998680,2.73131,0.10648,
